"CITY_ID","PROVINCE","CITY"
"268","四川","绵阳"
"269","四川","南充"
"270","四川","内江"
"271","四川","攀枝花"
"272","四川","遂宁"
"273","四川","雅安"
"274","四川","宜宾"
"275","四川","自贡"
"276","四川","泸州"
"277","四川","阿坝"
"278","四川","甘孜"
"279","四川","资阳"
"280","贵州","贵阳"
"281","贵州","安顺"
"282","贵州","毕节"
"283","贵州","六盘水"
"284","贵州","铜仁"
"285","贵州","遵义"
"286","贵州","黔东南"
"287","贵州","黔南"
"288","贵州","黔西南"
"289","云南","昆明"
"290","云南","西双版纳"
"291","云南","保山"
"292","云南","楚雄"
"293","云南","大理"
"294","云南","德宏"
"295","云南","红河"
"296","云南","丽江"
"297","云南","临沧"
"298","云南","怒江"
"299","云南","曲靖"
"300","云南","思茅"
"301","云南","文山"
"302","云南","玉溪"
"303","云南","昭通"
"304","云南","中甸"
"305","云南","迪庆州"
"306","西藏","拉萨"
"307","西藏","阿里"
"308","西藏","昌都"
"309","西藏","林芝"
"310","西藏","那曲"
"311","西藏","日喀则"
"312","西藏","山南"
"313","陕西","西安"
"314","陕西","安康"
"315","陕西","宝鸡"
"316","陕西","汉中"
"317","陕西","商洛"
"318","陕西","铜川"
"319","陕西","渭南"
"320","陕西","咸阳"
"321","陕西","延安"
"322","陕西","榆林"
"323","甘肃","兰州"
"324","甘肃","白银"
"325","甘肃","定西"
"326","甘肃","东风"
"327","甘肃","合作"
"328","甘肃","嘉峪关"
"329","甘肃","金昌"
"330","甘肃","酒泉"
"331","甘肃","矿区"
"332","甘肃","临夏"
"333","甘肃","陇南"
"334","甘肃","平凉"
"335","甘肃","庆阳"
"336","甘肃","天水"
"337","甘肃","武威"
"338","甘肃","张掖"
"339","甘肃","甘南州"
"340","青海","西宁"
"341","青海","海东"
"342","宁夏","银川"
"343","宁夏","中卫"
"344","宁夏","固原"
"345","宁夏","石嘴山"
"346","宁夏","吴忠"
"347","新疆","乌鲁木齐"
"348","新疆","阿克苏"
"349","新疆","阿勒泰"
"350","新疆","巴州"
"351","新疆","博州"
"352","新疆","昌吉"
"353","新疆","哈密"
"354","新疆","和田"
"355","新疆","喀什"
"356","新疆","克拉玛依"
"357","新疆","马兰"
"358","新疆","石河子"
"359","新疆","塔城"
"360","新疆","吐鲁番"
"361","新疆","伊犁"
"362","新疆","克州"
"363","新疆","阿拉尔"
"364","新疆","五家渠"
"365","内蒙古","满洲里"
"366","湖北","潜江"
"367","青海","格尔木"
"368","湖北","仙桃"
"369","新疆","克孜勒苏柯尔克孜自治州"
